Guide ID,Guide Name,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,Total
42527,Google Tips & Tricks,1970,2212,2021,2049,2584,1914,1744,1881,1767,1930,1133,1100,756,23061
42326,Citing Correctly and Avoiding Plagiarism,720,617,564,1369,1497,1486,1535,668,851,1053,779,448,330,11917
42599,Fair Use and Copyright for Online Education,659,688,901,585,773,692,470,608,593,605,559,536,511,8180
1086600,Newspapers,173,192,252,1916,616,475,348,692,896,651,815,317,281,7624
42391,Using the Internet for Research,738,529,651,869,568,578,524,663,428,443,318,340,193,6842
42510,How to Create a Historiography,275,262,442,690,846,839,622,527,519,476,541,344,117,6500
45581,Welcome to LibGuides @ the University of Rhode Island!,285,335,210,812,783,587,419,409,705,679,633,381,254,6492
42593,Circulation & Borrowing,191,437,300,650,605,384,358,403,461,551,492,270,140,5242
42388,Getting Started @ The Libraries,311,671,206,577,463,310,197,479,490,522,502,166,155,5049
1371067,Understanding &amp; Using AI,23,35,33,85,175,240,390,540,493,478,462,568,524,4046
42345,Lesson Planning Guide,122,104,119,130,480,407,271,203,212,735,331,205,90,3409
42588,Interlibrary Loan,159,244,162,401,293,218,137,282,324,228,188,172,109,2917
42467,How to Use Citations to Find More Sources,127,131,153,253,270,182,111,144,147,120,79,45,31,1793
42354,Library and Information Studies  - GSLIS,176,216,145,116,107,114,132,132,111,89,83,124,58,1603
42458,WRT 104 & 106 Guide for Students,57,55,64,233,405,154,41,103,168,162,91,30,12,1575
42554,LIB Basics: What is Information?,128,39,37,90,211,30,63,85,147,125,106,46,177,1284
42557,LIB Basics: Information Organization,131,138,69,120,191,118,70,87,58,128,52,59,43,1264
42580,Maps and Mapping,88,188,118,165,144,106,60,53,109,79,50,34,33,1227
42461,Legal Research,79,101,42,101,142,133,65,64,135,98,58,33,62,1113
42591,Instruction Services & Information Literacy,91,117,72,121,54,56,51,74,98,147,71,64,53,1069
1272919,"Comparing Sources: Scholarly, Professional, Trade, and Popular",78,63,51,231,105,120,22,112,126,46,42,48,19,1063
1322532,Talent Development Summer 2025,15,976,0,3,2,0,0,1,0,6,0,1,28,1032
42333,Welcome to the Carothers Library,52,100,40,96,99,91,54,61,95,101,88,63,57,997
42382,Self-Guided Tour of the Robert L. Carothers Library & Learning Commons,24,22,30,162,110,74,70,63,78,130,90,46,21,920
42346,Archives in New England and Nearby States,53,46,26,104,50,36,38,65,94,98,70,83,22,785
42590,Reserves,22,75,148,89,41,22,42,151,63,41,23,60,6,783
42587,"FAQs for Undergrads, Grad Students, and Faculty",33,65,32,135,75,54,30,73,71,71,52,45,23,759
1046590,Permanent Links to Articles and Online Resources,33,46,66,76,82,42,46,46,76,61,95,30,37,736
1322989,Tutorials,25,84,17,439,31,13,10,19,33,29,13,16,6,735
702675,Zotero,43,54,37,58,65,94,31,75,44,70,88,25,20,704
42507,Sociology & History of Food,46,31,40,57,52,19,31,25,256,46,58,28,12,701
42380,Library of Congress Classification System,64,53,76,134,101,49,22,41,48,44,22,18,20,692
922397,Open @ URI,25,4,21,15,16,3,45,109,68,98,65,150,53,672
42596,URI Open Access Policy,33,40,59,48,68,62,51,106,64,34,30,39,27,661
1311888,The Legal Research Process with Free Resources,37,86,31,50,42,57,44,43,68,52,46,37,35,628
42654,Electronic Access to Databases and Online Resources,21,31,14,98,102,44,30,65,63,48,49,30,24,619
42402,Entomology and Plant Sciences,50,57,51,50,42,50,46,56,44,70,28,42,27,613
1429718,Collection Access,0,0,0,0,113,71,37,218,97,19,15,8,1,579
42493,Industry Ratios & Averages,32,26,24,37,54,40,24,60,71,92,64,37,12,573
42551,Information Literacy Toolkit,18,7,33,40,36,61,45,79,57,51,53,43,45,568
42522,Chemical Engineering Resources,53,38,30,55,49,38,44,36,41,56,37,49,16,542
42413,Gender & Women's Studies,68,33,46,23,38,46,24,33,66,63,42,20,37,539
42481,Media Collection,17,102,26,52,39,31,23,38,39,60,39,23,11,500
1235501,Using MeSH Terms For Searching,18,11,22,21,35,38,17,42,43,49,68,81,54,499
42506,U.S. Census,40,29,26,44,38,52,74,30,40,45,20,19,29,486
42463,RefWorks,10,25,17,69,45,86,11,50,37,70,24,15,7,466
42572,History: Getting Started,15,10,9,58,54,27,19,40,138,56,25,5,2,458
629177,News Literacy & Alternative Facts: How to Be a Responsible Information Consumer,31,21,31,22,49,19,12,62,43,60,51,39,9,449
1085593,URI Libraries Guide for Voting,42,16,46,108,68,84,4,3,5,27,19,17,7,446
42608,Data Management,42,17,29,48,41,23,8,18,59,74,30,15,23,427
42561,International Students Library Guide,54,10,20,34,81,25,12,48,26,52,16,11,22,411
42633,Textbooks @ URI,8,18,69,97,5,14,8,78,26,25,15,18,7,388
42547,Geoscience,22,19,26,32,29,14,29,43,54,55,28,19,15,385
