Failed Searches in Primo,,,,,,
zero-search2425,,,,,,
,,,,,,
Searches,Search String,User Group,Field Searched,Sticky Facets Used,Search Scope Type,Search Scope
170,01URI_ALMA51317804510002396,GUEST,any,1,Blended,Books_More
25,"R Plonsey and RC Barr. Bioelectricity: A Quantitative Approach 3rd edition, Springer (2007).",GUEST,any,0,Blended,Books_More
23,01URI_ALMA51317804510002396,Undergraduate,any,1,Blended,Books_More
19,Real-world environmental enrichment rehabilitation paradigm in people with severe traumatic brain injury: a pilot feasibility study,GUEST,any,0,Blended,Books_More
17,"Shimon Dotan’s 2018 episode of Frontline that examines Dayton, Ohio as an example of how small and mid-size cities have struggled to bounce back from the Great Recession",GUEST,any,0,Blended,Books_More
16,"Bratton, V. K., Dodd, N. G.,",GUEST,any,0,Blended,Books_More
16,DSM 5TR,GUEST,any,0,Blended,Books_More
16,"Golden, J., Kohlbeck, M., %26 Rezaee, Z. (2020). Is cost stickiness associated with sustainability factors?. In Advances in Management Accounting (pp. 35-73). Emerald Publishing Limited.",GUEST,any,0,Blended,Books_More
15,Beyond budgeting or budgeting reconsidered? A survey of North-American budgeting practice,GUEST,any,0,Blended,Books_More
15,"“Polaris” turnaround strategy and the road ahead""",GUEST,any,0,Blended,Books_More
14,Ethics of Content Moderation: Free Speech vs. Safety,GUEST,any,0,Blended,Books_More
14,Projection of Future Coral Bleaching Events and Sustainability of Coastal Fishery Around Andaman Islands in the Perspective of Climate Change,GUEST,any,0,Blended,Books_More
13,"Golden, J., Kohlbeck, M.,",GUEST,any,0,Blended,Books_More
13,"Keller v. Miri Microsystems, LLC, 781 F. 3d 799 (6th Cir. 2015)",GUEST,any,0,Blended,Books_More
13,https://doi.org/10.1017/9781009296335,GUEST,any,0,Blended,Books_More
13,"masculinity,social media,boys,adolescents,sterotypes",GUEST,"any,any,any,any,any",0,Blended,Books_More
12,The Blue Check of Credibility: Does Account Verification Matter When Evaluating News on Twitter?,GUEST,any,0,Blended,Books_More
11,Integrating cultural humility into public services librarianship,GUEST,any,0,Blended,Books_More
11,Will Google's Keyword Searching Eliminate the Need for LC Cataloging and Classification?,GUEST,any,0,Blended,Books_More
10,Border Angels : legal and humanitarian support for U.S.-Mexican border migrants,GUEST,any,0,Blended,Books_More
10,"Pennell, A. E., Wollak, B.,",GUEST,any,0,Blended,Books_More
10,Public Health and Social Justice: a Jossy-Bass read,Undergraduate,any,0,Blended,Books_More
10,"The complex associations between adiposity, fitness, mental wellbeing and neurocognitive function after exercise: A randomized crossover trial in preadolescent children.",GUEST,any,0,Blended,Books_More
10,"dziegielwelski, sophia",GUEST,any,0,Blended,Books_More
10,environmental impact of potential changes to 195 in Providence,GUEST,any,0,Blended,Books_More
9,,GUEST,any,0,Blended,Books_More
9,Keller v. Miri Microsystems,GUEST,any,0,Blended,Books_More
9,"St. John, W., %26 Haskell, B. (2016). Essential communication skills for managers, volume II: A practical guide for communicating effectively with all people in all situations. Business Expert Press.",GUEST,any,0,Blended,Books_More
8,CHN,Undergraduate,any,0,Local,Course_Reserves
8,Enabling Intersectional Theory: Narrating the Messy Beginnings of Disability Awareness,GUEST,any,0,Blended,Books_More
8,"Engineering,Manual,Hanbdook",GUEST,"any,any,any",0,Blended,Books_More
8,"Golden, J., Kohlbeck, M., %26 Rezaee, Z. (2020). Is cost stickiness associated with sustainability factors?. In Advances in Management Accounting (pp. 35-73). Emerald Publishing Limited",GUEST,any,0,Blended,Books_More
8,"Location of the Pell Marine Science Library, a second URI library with materials related to marine affairs %26 oceanography",GUEST,any,0,Blended,Books_More
8,Public Health and Social Justice: a Jossy-Bass read,GUEST,any,0,Blended,Books_More
8,"Tetrahedron letters,Jean-Noël Volle,Zyban,2007",Undergraduate,"any,creator,any,any",0,Blended,Books_More
8,Wind energy potential in Sweden: the importance of non-technical factors,GUEST,any,0,Blended,Books_More
8,green eggs and ham,GUEST,any,1,Blended,Books_More
8,https://doi.org/10.25333/C3M92X,GUEST,any,0,Blended,Books_More
8,https://www.all4kids.org/news/blog/the-benefits-of-adopting-a-child/,Undergraduate,any,0,Blended,Books_More
8,our fragile moment,GUEST,any,0,Local,Course_Reserves
7,"""blacks in classical music ii""",GUEST,any,0,Blended,Books_More
7,1366-2724,GUEST,any,0,Blended,Books_More
7,"40,01URI_ALMA2134634750002396",GUEST,"any,any",0,Blended,Books_More
7,978-1-118-08814-2,GUEST,any,0,Blended,Books_More
7,9780838937297,GUEST,any,0,Blended,Books_More
7,991457716502396,GUEST,any,0,Blended,Books_More
7,CHN,GUEST,any,0,Local,Course_Reserves
7,Centering staff: Reflections on equity in pandemic times and for the future,GUEST,any,0,Blended,Books_More
7,"DennisW.Nixon,MichaelJ.Daly,SusanE.Farady,ReadD.Porter,andJulia Wyman,MarineandCoastalLawCasesandMaterials (3d.edition)",GUEST,any,0,Blended,Books_More
7,Disciplined Enterpreneurship,GUEST,any,0,Blended,Books_More
7,"Keller v. Miri Microsystems, LLC, 781 F. 3d 799 (6th Cir. 2015)",Gradstudent,any,0,Blended,Books_More
7,Lindamood bell and severe dyslexia,Faculty,any,0,Blended,Books_More
7,"Lukin, Josh. Disability and Blackness in The Disability Studies Reader. Ed. Lennard J. Davis",GUEST,any,0,Blended,Books_More
7,Projection of Future Coral Bleaching Events and Sustainability of Coastal Fishery Around Andaman Islands in the Perspective of Climate Change,Gradstudent,any,0,Blended,Books_More
7,Queer Joy as an Affective Incitement to Queer and Trans Studies in Education,GUEST,any,0,Blended,Books_More
7,Samuel E Sawyer Gloucester MA,GUEST,any,0,Blended,Books_More
7,"Sea scallop, Patinopecten caurinus, investigations in Alaska. Alaska Department of Fish Game",GUEST,any,0,Blended,Books_More
7,"Sutton, S. G. (2000). The changing face of accounting in an information technology dominated world. International Journal of Accounting Information Systems, 1(1), 1-8",GUEST,any,0,Blended,Books_More
7,"social media,adoloescents",GUEST,"any,any",0,Blended,Books_More
6,Graziadio Business Review 2010 Volume 13 Issue 4. Great Leaders,GUEST,any,0,Blended,Books_More
6,"""Teaching adolescent English language learners: Essential strategies for middle and high school""",GUEST,any,0,Blended,Books_More
6,"1,3 butylene glycol,Dymsza",Gradstudent,"sub,creator",0,Blended,Books_More
6,"40ar,01URI_ALMA2134634750002396",GUEST,"any,any",0,Blended,Books_More
6,9781410605269,GUEST,any,0,Blended,Books_More
6,Artifical Intelligence,GUEST,any,1,Blended,Books_More
6,"Coiro, J. (2017, December). Building young readers’ comprehension and engagement through inquiry and research. Research Into Practice, Pearson Education Inc.",GUEST,any,0,Blended,Books_More
6,Discourses and Narratives on Environment and Development: The Example of Bioprospecting,GUEST,any,0,Blended,Books_More
6,"Floyd, Kory (2021). Communication Matters, 4th edition",GUEST,any,0,Blended,Books_More
6,Frameshift Mutations and the Genetic Code Cold Spring Harb Symp Quant Biol 1966 31: 77-84;,GUEST,any,0,Blended,Books_More
6,Garfunkel and Oates,GUEST,any,0,Blended,Books_More
6,"Herawi v. State of Alabama, Department of Forensic Sciences, 311 F. Supp. 2d 1335 (M.D. Ala. 2004)",Staff,any,0,Blended,Books_More
6,"Horning, K. (2014). Still an All-White World? School Library Journal, 60(5)",GUEST,any,0,Blended,Books_More
6,Keller v. Miri Microsystems,Gradstudent,any,0,Blended,Books_More
6,"Korhonen, T., Selos, E., Laine, T.,",GUEST,any,0,Blended,Books_More
6,Navigating exile: Contemporary women writers discover an ethics of home,GUEST,any,0,Blended,Books_More
6,"Patton, L. D., Renn, K. A., Guido, F. M., %26 Quaye, S. J. (2016). Student development in college: Theory, research, and practice (3rd ed.). Jossey-Bass.",Gradstudent,any,0,Blended,Books_More
6,"Public Health and Social Justice: a Jossy-Bass reader / Martin Donohoe, editor. 1st edition",Undergraduate,any,0,Local,Course_Reserves
6,"R Plonsey and RC Barr. Bioelectricity: A Quantitative Approach 3rd edition, Springer (2007).",Undergraduate,any,0,Blended,Books_More
6,SUMOylation controls peptide processing to generate damage-associated molecular patterns in Arabidopsis,GUEST,any,0,Blended,Books_More
